name,author,latest_release,created,size,latest_game_version,categories,downloads,mod_loaders
L_Ender 's Cataclysm,mcl_ender,"Jun 26, 2024","Dec 2, 2021",46.58 MB,1.19.2,"Armor, Tools, and Weapons | Adventure and RPG | Structures | Mobs","34,342,230","Forge, NeoForge"
AI Improvements,QueenOfMissiles,"Jun 14, 2024","Jul 22, 2015",28.30 KB,1.21,Server Utility | Mobs,"78,000,641","Forge, NeoForge"
FTB Chunks (Forge),FTB,"Sep 10, 2024","Feb 19, 2019",816.71 KB,1.19.2,Server Utility | Map and Information,"60,217,272","Forge, NeoForge"
AmbientSounds 6,CreativeMD,"Aug 28, 2024","Nov 28, 2016",81.38 MB,1.20.1,Miscellaneous,"48,889,575","Forge, Fabric, NeoForge"
Better Compatibility Checker,Gaz_,"Sep 11, 2024","Dec 3, 2021",27.65 KB,1.21.1,Map and Information | Server Utility | Server Utility | Utility & QoL | Map and Information | Utility & QoL,"42,455,092","Forge, Fabric, NeoForge"
Structory,botanydev,"Jun 14, 2024","Jun 24, 2022",1.20 MB,1.21,Adventure and RPG | Mobs | World Gen | Cosmetic,"31,917,380","Forge, Fabric, Quilt, NeoForge"
Resourceful Config,ThatGravyBoat,"Jul 20, 2024","Nov 27, 2022",288.71 KB,1.21,API and Library,"28,991,273","Forge, Fabric, NeoForge, Quilt"
Nether's Delight,lumpazl,"Sep 4, 2023","Jun 21, 2021",357.47 KB,1.20.1,Food | Farming | Cosmetic,"40,082,247",Forge
Configured,MrCrayfish,"Jun 18, 2024","Mar 16, 2021",363.76 KB,1.21,Utility & QoL | Server Utility | API and Library,"46,389,351","Forge, Fabric, NeoForge"
YUNG's Bridges (Forge),YUNGNICKYOUNG,"May 17, 2024","Oct 14, 2021",133.64 KB,1.20.4,Biomes | Structures | Adventure and RPG | World Gen,"32,634,886",Forge
Deeper and Darker,KyaniteMods,"Sep 7, 2024","Aug 13, 2022",16.99 MB,1.21.1,Biomes | Structures | Dimensions | Ores and Resources | Mobs,"30,239,400","Fabric, Quilt, Forge, NeoForge"
Mekanism,bradyaidanc,"Aug 31, 2024","May 28, 2017",11.97 MB,1.20.1,"Armor, Tools, and Weapons | Processing | Energy, Fluid, and Item Transport | Energy, Fluid, and Item Transport | Storage | Storage | Armor, Tools, and Weapons | Technology | Processing","111,374,657","Forge, NeoForge"
Sodium,JellySquid,"Aug 22, 2024","Jul 9, 2020",1.06 MB,1.21.1,Performance,"41,048,476","Fabric, Quilt, NeoForge"
Amendments,plantspookable,"Sep 7, 2024","Jul 31, 2023",971.19 KB,1.20.1,Utility & QoL | Cosmetic,"9,609,048","Fabric, Forge, NeoForge"
Iron Chests,ProgWML6,"Jul 1, 2024","Mar 22, 2015",298.80 KB,1.21,Storage,"166,421,565","Forge, NeoForge"
Drippy Loading Screen,Keksuccino,"Jun 21, 2024","Aug 6, 2021",76.98 KB,1.21.1,Miscellaneous,"32,204,234","Forge, Fabric, NeoForge"
FastFurnace,Shadows_of_Fire,"Mar 14, 2024","Jul 31, 2018",6.03 KB,1.20.1,Performance,"81,849,308","Forge, NeoForge"
Blueprint,TeamAbnormals,"Apr 26, 2024","May 10, 2020",1.09 MB,1.20.1,API and Library,"57,770,110","Forge, NeoForge"
Cucumber Library,BlakeBr0,"Sep 12, 2024","Jul 18, 2017",189.02 KB,1.19.2,API and Library,"111,655,248","Forge, NeoForge"
Macaw's Fences and Walls,sketch_macaw,"Aug 17, 2024","Mar 7, 2021",483.68 KB,1.21.1,Cosmetic,"50,380,305","Forge, Fabric, NeoForge"
Torchmaster,xalcon,"Sep 7, 2024","Nov 27, 2016",100.28 KB,1.20.1,Miscellaneous,"102,981,018","Forge, NeoForge, Fabric"
Dark Utilities,DarkhaxDev,"Mar 8, 2024","Feb 25, 2016",164.76 KB,1.20.4,"Armor, Tools, and Weapons | Thaumcraft | Redstone | Adventure and RPG","110,195,746","Forge, Fabric, Quilt, NeoForge"
Cooking for Blockheads,BlayTheNinth,"Aug 13, 2024","Jun 11, 2015",885.52 KB,1.20.4,Food | Processing | Storage,"137,885,808","Forge, NeoForge"
ConnectedTexturesMod,tterrag1098,"Aug 2, 2024","May 15, 2017",235.15 KB,1.21,Cosmetic | API and Library,"150,498,024","Forge, NeoForge"
Thermal Foundation,TeamCoFH,"Jun 19, 2024","Jul 30, 2014",4.34 MB,1.20.1,Thermal Expansion | Technology | Ores and Resources,"138,202,577","Forge, NeoForge"
Legendary Tooltips [Neo/Forge],Grend_G,"Aug 3, 2024","Sep 29, 2021",51.99 KB,1.21,"Cosmetic | Utility & QoL | Cosmetic | Utility & QoL | Miscellaneous | Adventure and RPG | Armor, Tools, and Weapons | Miscellaneous | Armor, Tools, and Weapons | Adventure and RPG","35,793,453","Forge, NeoForge"
Refined Storage,raoulvdberge,"Mar 8, 2024","Mar 20, 2016",3.10 MB,1.18.2,"Technology | Storage | Energy, Fluid, and Item Transport","103,901,938","Forge, NeoForge"
Explorer's Compass,Chaosyr,"Sep 6, 2024","Jun 8, 2021",154.12 KB,1.21.1,"Adventure and RPG | Armor, Tools, and Weapons | Structures | Map and Information","27,248,051","Forge, Fabric, NeoForge"
Mekanism Generators,bradyaidanc,"Aug 31, 2024","May 28, 2017",1.01 MB,1.20.1,Technology | Energy | Addons,"97,724,256","Forge, NeoForge"
Macaw's Windows,sketch_macaw,"Aug 17, 2024","Feb 20, 2020",1.21 MB,1.21.1,Cosmetic,"57,956,648","Forge, Fabric, NeoForge"
CodeChicken Lib 1.8.+,covers1624,"Jun 12, 2024","Mar 13, 2016",1.40 MB,1.20.1,API and Library,"136,873,586","Forge, NeoForge"
Mantle,mDiyo,"May 13, 2024","Feb 22, 2014",985.05 KB,1.18.2,API and Library,"182,115,658",Forge
Guard Villagers,almightytallestred,"Aug 12, 2024","Jan 27, 2020",210.39 KB,1.20.1,World Gen | Mobs,"42,390,595","Forge, NeoForge"
Repurposed Structures (Neoforge/Forge),telepathicgrunt,"Aug 22, 2024","Mar 19, 2020",7.85 MB,1.21.1,Structures | World Gen,"52,582,348","Forge, NeoForge"
Apotheosis,Shadows_of_Fire,"Aug 19, 2024","Feb 12, 2019",2.55 MB,1.20.1,"Armor, Tools, and Weapons | Magic | Adventure and RPG | Mobs","75,273,543","Forge, NeoForge"
